seller,seller_rank,item_sales_brl,cumulative_pct_sellers,cumulative_pct_sales
d23019c84ffae2d5ef2270367b8605fc,82,28395.5,2.9359,42.7444
53e4c6e0f4312d4d2107a8c9cddf45cd,83,28279.9,2.9717,42.9735
0241d4d5d36f10f80c644447315af0bd,84,28198.9,3.0075,43.202
0b90b6df587eb83608a64ea8b390cf07,85,28084.86,3.0433,43.4295
1554a68530182680ad5c8b042c3ab563,86,26960.64,3.0791,43.648
7681ef142fd2c19048da7430856b5588,87,26282.92,3.1149,43.8609
d1c281d3ae149232351cd8c8cc885f0d,88,26244.67,3.1507,44.0736
de23c3b98a88888289c6f5cc1209054a,89,25863.68,3.1865,44.2831
7e1fb0a3ebfb01ffb3a7dae98bf3238d,90,25655.53,3.2223,44.491
900ba814c251a692506d7834c1218441,91,25446.46,3.2581,44.6972
b94cc9f10ddc85e4ba73a6f7974e7101,92,25346.1,3.2939,44.9025
12b9676b00f60f3b700e83af21824c0e,93,25331.0,3.3298,45.1077
b32be1695eb7ec5f10f72d9610a12527,94,24928.0,3.3656,45.3097
59b22a78efb79a4797979612b885db36,95,24774.5,3.4014,45.5104
a3a38f4affed601eb87a97788c949667,96,24718.14,3.4372,45.7107
001cca7ae9ae17fb1caed9dfb1094831,97,24487.03,3.473,45.9091
1c68394e931a64f90ea236c5ea590300,98,24326.81,3.5088,46.1062
b37c4c02bda3161a7546a4e6d222d5b2,99,24075.0,3.5446,46.3013
a416b6a846a11724393025641d4edd5e,100,23691.19,3.5804,46.4932
2b3e4a2a3ea8e01938cabda2a3e5cc79,101,23629.15,3.6162,46.6847
dc4a0fc896dc34b0d5bfec8438291c80,102,23258.01,3.652,46.8731
1900267e848ceeba8fa32d80c1a5f5a8,103,23096.69,3.6878,47.0602
7b0df942f46435babab05d49b744b2c4,104,22600.63,3.7236,47.2433
16090f2ca825584b5a147ab24aa30c86,105,22403.2,3.7594,47.4249
1a3df491d1c4f1589fc2b934ada68bf2,106,22383.4,3.7952,47.6062
744dac408745240a2c2528fb1b6028f3,107,22144.6,3.831,47.7856
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,108,21940.8,3.8668,47.9634
897060da8b9a21f655304d50fd935913,109,21669.51,3.9026,48.139
b1b3948701c5c72445495bd161b83a4c,110,21519.5,3.9384,48.3133
f62d7bb4a613ec758a03342d46b580b2,111,21485.0,3.9742,48.4874
8444e55c1f13cd5c179851e5ca5ebd00,112,21480.96,4.01,48.6614
710e3548e02bc1d2831dfc4f1b5b14d4,113,21204.48,4.0458,48.8332
f45122a9ab94eb4f3f8953578bc0c560,114,21129.73,4.0816,49.0044
59fb871bf6f4522a87ba567b42dafecf,115,21068.61,4.1174,49.1751
9f505651f4a6abe901a56cdc21508025,116,21004.4,4.1532,49.3453
c003204e1ab016dfa150abc119207b24,117,20345.99,4.189,49.5102
8f2ce03f928b567e3d56181ae20ae952,118,20178.1,4.2248,49.6736
00ee68308b45bc5e2660cd833c3f81cc,119,20062.0,4.2607,49.8362
48162d548f5b1b11b9d29d1e01f75a61,120,19724.39,4.2965,49.996
d2374cbcbb3ca4ab1086534108cc3ab7,121,19678.62,4.3323,50.1554
004c9cd9d87a3c30c522c48c4fc07416,122,19569.73,4.3681,50.314
bfd27a966d91cfaafdb25d076585f0da,123,19225.0,4.4039,50.4698
05ff92fedb5be47920fea08e501238b9,124,19223.8,4.4397,50.6255
7ad32824caee82087b3e2e5f33b1bf32,125,19111.2,4.4755,50.7803
dc317f341ab0e22f39acbd9dbf9b4a1f,126,18988.4,4.5113,50.9342
96493fab2fbb13a14d0c0e8772eef5c3,127,18969.0,4.5471,51.0879
729f06993dac8e860d4f02d7088ca48a,128,18876.88,4.5829,51.2408
f457c46070d02cadd8a68551231220dd,129,18798.3,4.6187,51.3931
06e5eefc71ec47ae763c5c6f8db7064f,130,18676.26,4.6545,51.5444
44073f8b7e41514de3b7815dd0237f4f,131,18330.74,4.6903,51.693
cd68562d3f44870c08922d380acae552,132,18119.7,4.7261,51.8398
612170e34b97004b3ba37eae81836b4c,133,18045.92,4.7619,51.986
0dd184061fb0eaa7ca37932c68ab91c5,134,17993.92,4.7977,52.1318
527801b552d0077ffd170872eb49683b,135,17565.3,4.8335,52.2741
a888faf2d1baececa6baf9c3d603ee1f,136,17564.8,4.8693,52.4164
9de4643a8dbde634fe55621059d92273,137,17560.34,4.9051,52.5587
94144541854e298c2d976cb893b81343,138,17286.28,4.9409,52.6987
40db9e9aa57f7bb151bcda6b0f9bdbb7,139,17134.0,4.9767,52.8376
165fc07beebdcb6190fba8a06db2a449,140,17101.8,5.0125,52.9761
8b321bb669392f5163d04c59e235e066,141,16888.84,5.0483,53.1129
abe42c5d03695b4257b5c6cbf4e6784e,142,16671.0,5.0841,53.248
0c8380b62e38e8a1e6adbeba7eb9688c,143,16563.5,5.1199,53.3822
54a1852d1b8f10312c55e906355666ee,144,16510.53,5.1557,53.516
