bucket,n_orders,n_reviewed_orders,review_score_sum,avg_review_unrounded,low_rating_orders
Early 1-4 days,5110,5064,20506,4.049368088467615,634
Early 5+ days,77580,77159,332054,4.3035031558210965,7033
Late 1-5 days,2480,2438,7182,2.9458572600492205,1029
Late 6+ days,3658,3555,6147,1.729113924050633,2788
On promised date,1024,1014,4003,3.947731755424063,140
