review_policy,category,n_order_category_pairs,n_reviewed_orders,avg_order_review,pct_low_rating
order_mean,fashion_shoes,231,227,4.27,11.01
order_mean,small_appliances,586,581,4.27,11.53
order_mean,stationery,2106,2094,4.27,10.51
order_mean,costruction_tools_garden,171,171,4.3,10.53
order_mean,cine_photo,55,55,4.33,12.73
order_mean,luggage_accessories,957,953,4.37,8.08
order_mean,books_technical,228,227,4.39,10.57
order_mean,flowers,29,28,4.39,7.14
order_mean,costruction_tools_tools,83,81,4.42,8.64
order_mean,food_drink,205,205,4.42,4.39
order_mean,books_imported,49,49,4.43,10.2
order_mean,fashion_sport,25,25,4.44,8.0
order_mean,small_appliances_home_oven_and_coffee,55,55,4.47,7.27
order_mean,books_general_interest,462,458,4.55,5.9
order_mean,cds_dvds_musicals,12,12,4.67,0.0
order_mean,fashion_childrens_clothes,7,7,5.0,0.0
